<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;021023;000000;261.38;261.92;257.03;258.98;35447350
SBER;D;031023;000000;258.99;260.5;257.23;259.65;23815150
SBER;D;041023;000000;259;260.39;258.24;259.53;18510890
SBER;D;051023;000000;260.71;261.39;258.26;259.38;23254560
SBER;D;061023;000000;259.77;263.4;257.86;262.93;31980230
SBER;D;091023;000000;263.02;265.97;263;265.25;45189600
SBER;D;101023;000000;264.9;265.18;257;263;33744090
SBER;D;111023;000000;263.18;263.99;259.5;260.21;29440350
SBER;D;121023;000000;260.03;264.5;259.66;264.5;27421510
SBER;D;131023;000000;264.75;265.04;262.7;263.51;18351530
SBER;D;161023;000000;263.99;269.2;263.51;268.15;53677710
SBER;D;171023;000000;268.25;271.97;266.91;270;51107660
SBER;D;181023;000000;270;271.19;266.11;267.9;40249640
SBER;D;191023;000000;267.14;271;266.28;268.65;33466930
SBER;D;201023;000000;268.5;270.3;266.5;269.8;32851790
SBER;D;231023;000000;270.47;274.1;269.65;270.1;62301840
SBER;D;241023;000000;270.03;272.06;268.62;271.27;27975250
SBER;D;251023;000000;271.5;274.96;270.53;273.73;41764060
SBER;D;261023;000000;274.1;276;269.12;269.9;59466100
SBER;D;271023;000000;270;271.98;266.8;269.7;49735190
SBER;D;301023;000000;269.9;271.55;268.6;269.89;33261680
SBER;D;311023;000000;269.91;270.5;266.87;268.35;26117980
SBER;D;011123;000000;268.29;270.3;267.6;269.68;20587810
SBER;D;021123;000000;270.01;270.98;268.5;269.06;25499750
SBER;D;031123;000000;269.07;269.78;267.2;268.54;20968810
SBER;D;061123;000000;269;273.87;268.62;273.42;29231770
SBER;D;071123;000000;273.08;274.78;272.2;273.31;32183320
SBER;D;081123;000000;273.53;278.35;273.28;278.15;58000060
SBER;D;091123;000000;278.6;278.85;276.02;276.65;28258660
SBER;D;101123;000000;276.99;281.3;276.6;280.19;44600220
SBER;D;131123;000000;280.4;284.8;280.32;283.97;45780320
SBER;D;141123;000000;283.66;283.88;280.54;280.87;40350240
SBER;D;151123;000000;280.87;283.93;278.51;282.89;41784490
SBER;D;161123;000000;282.4;283.69;279.56;279.7;24654700
SBER;D;171123;000000;279.69;282.5;278.66;281.6;31282610
SBER;D;201123;000000;281.8;284.2;281.61;282.91;25219810
SBER;D;211123;000000;282.29;283.82;281.66;282.79;19027720
SBER;D;221123;000000;283.14;286.67;282.85;286.16;47267490
SBER;D;231123;000000;286.16;287.77;285.04;286.19;27692900
SBER;D;241123;000000;286.48;287.5;285.11;286.85;26019540
SBER;D;271123;000000;287.41;289;278.88;282.33;79026910
SBER;D;281123;000000;282.4;282.51;277.32;279.91;45475110
SBER;D;291123;000000;279.48;280.56;276.2;276.8;29776060
SBER;D;301123;000000;276.71;278.65;272.75;277.5;55837620
SBER;D;011223;000000;277.04;277.98;273.55;273.97;31604310
SBER;D;041223;000000;273.59;274.95;270.52;270.96;37456310
SBER;D;051223;000000;271.97;279.65;270.54;279.62;46800410
SBER;D;061223;000000;279.92;280.79;266.83;267.58;99849690
SBER;D;071223;000000;267.74;270.44;263.06;265.12;63509590
SBER;D;081223;000000;266.01;268.23;263.72;265.16;35322130
SBER;D;111223;000000;265.17;266.47;254.81;256.89;77590450
SBER;D;121223;000000;256.79;262.88;255.05;257.6;63807080
SBER;D;131223;000000;257.58;261.39;256.5;260.45;29760860
SBER;D;141223;000000;261.4;262.75;255.58;256.64;40477500
SBER;D;151223;000000;256.61;268.91;256.61;268.21;84643800
SBER;D;181223;000000;268.9;270.44;266.54;268.4;51515190
SBER;D;191223;000000;268.35;269.71;265;267.35;38229660
SBER;D;201223;000000;267.52;269.1;266.2;266.61;30929220
SBER;D;211223;000000;266.55;266.87;263.5;265.19;33214370
SBER;D;221223;000000;266.07;271.9;265.37;271.3;58687300
SBER;D;251223;000000;271.75;273.85;270.05;271.08;37827910
SBER;D;261223;000000;271;272.89;270;271.9;22575240
SBER;D;271223;000000;271.9;272.59;270.85;271.08;17191450
SBER;D;281223;000000;270.99;272.48;268.52;271.74;29416450
SBER;D;291223;000000;272.08;272.59;270.55;270.82;20792860
SBER;D;030124;000000;271.75;274.7;271;274.56;20408560
SBER;D;040124;000000;274.68;275.48;273.7;274.12;11679550
SBER;D;050124;000000;274.3;274.69;272.8;273.62;9622380
SBER;D;080124;000000;273.59;277;273.53;276.76;21427450
SBER;D;090124;000000;276.94;278;274.71;275.28;20263120
SBER;D;100124;000000;275.3;276.16;273.64;274.49;20618950
SBER;D;110124;000000;274.62;275.97;274.01;275.71;19520470
SBER;D;120124;000000;275.9;276.96;274.77;275.84;17608350
SBER;D;150124;000000;276.3;277.73;275.21;275.96;21283290
SBER;D;160124;000000;276.24;276.45;274.1;276.01;16084140
SBER;D;170124;000000;276.02;279.17;275.75;278;34137100
SBER;D;180124;000000;278.22;278.87;276.76;277.07;17671830
SBER;D;190124;000000;277.39;277.47;273.55;274.86;28038880
SBER;D;220124;000000;274.89;275.9;273.85;274.93;15050630
SBER;D;230124;000000;274.69;277.26;274.31;275.9;20017040
SBER;D;240124;000000;275.94;276.44;273.7;273.77;20187430
SBER;D;250124;000000;274.03;274.18;271.55;272.81;24422490
SBER;D;260124;000000;273.1;273.72;272.21;272.65;11102660
SBER;D;290124;000000;273.05;274.95;272.7;274.05;17043130
SBER;D;300124;000000;274.05;277.25;273.97;275.67;27222730
SBER;D;310124;000000;275.8;276.45;275;276;12527800
SBER;D;010224;000000;276.07;277.75;275.93;276.86;15941680
SBER;D;020224;000000;277.01;277.3;276;276.74;12688460
SBER;D;050224;000000;276.94;278.57;276.9;277.84;16017040
SBER;D;060224;000000;278;278.99;277.3;278.67;15925370
SBER;D;070224;000000;278.81;284.5;278.81;284.41;45347300
SBER;D;080224;000000;284.56;286.24;281.25;282.17;44060410
SBER;D;090224;000000;282.16;284;281.5;283.5;24301430
SBER;D;120224;000000;283.67;287.84;283.5;287.28;33867350
SBER;D;130224;000000;287.52;289;285.4;287.07;33266090
SBER;D;140224;000000;287.08;290.6;286.84;289.06;35814960
SBER;D;150224;000000;289.26;290.45;287.63;290.24;25888540
SBER;D;160224;000000;290.47;292.3;286.25;288.33;53426930
SBER;D;190224;000000;288.59;289.98;287.07;288.93;24275510
SBER;D;200224;000000;289.23;289.28;283.29;283.9;44931560
SBER;D;210224;000000;283.91;285.28;280.2;282;48809450
SBER;D;220224;000000;282.24;285.05;282.1;284.77;25107350
SBER;D;260224;000000;288.52;291.3;287;291.25;42606720
SBER;D;270224;000000;291.34;293;290.55;292.52;32411030
SBER;D;280224;000000;292.61;293.95;289.75;291.75;49212360
SBER;D;290224;000000;292.3;293.2;291.3;292.19;22398680
SBER;D;010324;000000;292.21;295.88;292.21;295.38;27050460
SBER;D;040324;000000;295.8;299.5;295.8;299.17;40526260
SBER;D;050324;000000;299.32;300.41;297.57;298.4;41691010
SBER;D;060324;000000;298.19;299.33;296.82;297.71;17675740
SBER;D;070324;000000;297.72;300.58;297.24;300.4;21933870
SBER;D;110324;000000;300.99;302.95;298.5;299.79;41634000
SBER;D;120324;000000;299.54;301.07;297.34;300.9;28579520
SBER;D;130324;000000;301.2;301.49;298.7;298.85;23980400
SBER;D;140324;000000;298.47;298.7;295.14;295.83;42076250
SBER;D;150324;000000;295.75;299.44;295.29;298.3;26002750
SBER;D;180324;000000;299.41;299.98;297.63;298.87;20213950
SBER;D;190324;000000;298.3;299.4;294.21;295.2;59646690
SBER;D;200324;000000;295.4;296.88;293.52;295.4;30646650
SBER;D;210324;000000;295.95;297.3;291.8;295.62;70581560
SBER;D;220324;000000;295.77;296.79;291.05;292.99;48966360
SBER;D;250324;000000;294;294.93;292.13;293.9;25449910
SBER;D;260324;000000;294.44;295.82;293.04;294.11;16268420
SBER;D;270324;000000;294.45;295.11;293.47;295.1;14531720
SBER;D;280324;000000;295.51;299.3;295.51;299;33617440
SBER;D;290324;000000;299.37;299.5;298;298.72;17644190
SBER;D;010424;000000;299.99;301.65;299.5;300.43;28378290
SBER;D;020424;000000;300.42;300.99;298.95;300.38;19900790
SBER;D;030424;000000;300.39;307.13;300.17;306.72;58210390
SBER;D;040424;000000;306.8;307.77;304.36;304.61;29046010
SBER;D;050424;000000;304.65;306.5;303.7;306.1;19315070
SBER;D;080424;000000;306.5;308.6;306.22;307.75;24816860
SBER;D;090424;000000;308.1;309.35;305.51;306.76;31960600
SBER;D;100424;000000;306.76;307.14;304.62;306.48;20618060
SBER;D;110424;000000;306.64;308;305.7;306.95;20511760
SBER;D;120424;000000;307.41;307.87;306.3;307.1;16001210
SBER;D;150424;000000;307.4;308.39;306.64;307.99;20711610
SBER;D;160424;000000;308;308.65;307;308.29;17030710
SBER;D;170424;000000;308.64;309.74;305.91;306.59;28070320
SBER;D;180424;000000;306.02;308.29;305.05;307.99;20296500
SBER;D;190424;000000;308.02;308.38;306.8;307.38;14563250
SBER;D;220424;000000;307.99;315;307.38;314.99;68916500
SBER;D;230424;000000;315.3;315.79;306.26;307.39;92606890
SBER;D;240424;000000;307.52;309.79;306.65;307.94;26515970
SBER;D;250424;000000;307.96;309.07;307.45;308.41;15934990
SBER;D;260424;000000;308.5;309.9;308;309;21126710
SBER;D;270424;000000;309.2;309.99;308.7;308.98;13089900
SBER;D;290424;000000;309.13;309.6;307.65;308.97;10004910
SBER;D;300424;000000;309.19;309.49;308.03;308.24;5969290
SBER;D;020524;000000;308.71;309.19;306.8;307.37;16246440
SBER;D;030524;000000;307.16;308.29;304.34;307.53;30440790
SBER;D;060524;000000;308.08;308.09;305.55;306.01;19100370
SBER;D;070524;000000;306.25;308.87;306.21;308.22;16606530
SBER;D;080524;000000;308.41;311.83;308.08;311.21;33875380
SBER;D;100524;000000;311.49;313.5;311.31;313.49;16675700
SBER;D;130524;000000;314.1;315.7;314.04;314.85;21503920
SBER;D;140524;000000;314.98;318.41;313.58;318.12;35181520
SBER;D;150524;000000;318.2;320.16;317.7;319.7;28195960
SBER;D;160524;000000;320.01;322.91;320;322.91;27790120
SBER;D;170524;000000;322.95;323.5;320.02;323.16;24321350
SBER;D;200524;000000;324;324.85;318.94;321.08;36547050
SBER;D;210524;000000;320.89;322.23;318;320.64;33999260
SBER;D;220524;000000;320.84;323.1;320.84;322.93;18635350
SBER;D;230524;000000;322.8;324;321.23;323.54;17835590
SBER;D;240524;000000;323.83;324.48;319.78;321;26553810
SBER;D;270524;000000;321.08;321.95;315.5;317.09;45678990
SBER;D;280524;000000;317.49;320.9;315.82;318.22;30148450
SBER;D;290524;000000;318.4;320.4;315.92;320.38;22961680
SBER;D;300524;000000;320.91;321.55;316;316.63;26931430
SBER;D;310524;000000;316.5;318.49;309.8;313.11;49135220
SBER;D;030624;000000;313.5;315.5;305;310.95;61756350
SBER;D;040624;000000;310.97;316.5;308.8;316.49;33007760
SBER;D;050624;000000;316.63;318.28;313.85;314.72;27769570
SBER;D;060624;000000;314.7;316.45;311.15;313.08;28304600
SBER;D;070624;000000;313.61;320.64;312.73;319.9;44451740
SBER;D;100624;000000;320.79;321.98;315.21;317.28;26271510
SBER;D;110624;000000;317.5;319.84;315.88;317.8;20045280
SBER;D;130624;000000;305.83;317.82;304.14;317.71;40596660
SBER;D;140624;000000;317.8;320.7;316.2;319.35;21471310
SBER;D;170624;000000;320;320.45;316.85;317.65;15421940
SBER;D;180624;000000;317.65;318;313.02;314.34;21995830
SBER;D;190624;000000;314.38;314.78;307.51;310.7;42166660
SBER;D;200624;000000;310.71;314.72;306.02;314.15;72766890
SBER;D;210624;000000;314.9;316;312.6;314.14;29078260
SBER;D;240624;000000;314.57;319;314.14;317.25;29541850
SBER;D;250624;000000;317.42;319.89;316.28;319.8;25961320
SBER;D;260624;000000;320.1;324.56;319.8;324.55;42419730
SBER;D;270624;000000;324.8;327.83;322.63;327.16;46744210
SBER;D;280624;000000;327.83;329.3;325.8;327.15;40401840
SBER;D;010724;000000;327.68;329;326.25;327.1;31651010
SBER;D;020724;000000;327.3;328.87;326.82;328.37;21147250
SBER;D;030724;000000;328.6;330.45;327;328.2;32149800
SBER;D;040724;000000;328.37;329.57;323.81;324.66;40717120
SBER;D;050724;000000;324.72;327;321.01;325;40395560
SBER;D;080724;000000;325.76;327.44;323.74;324.07;27707420
SBER;D;090724;000000;324.32;325.33;317.5;319.99;54117710
SBER;D;100724;000000;319.01;320.3;314.3;316.68;88434130
SBER;D;110724;000000;289.96;296.98;285.22;295.87;163673770
SBER;D;120724;000000;296.01;297.48;290.97;292.21;49886960
SBER;D;150724;000000;292.93;293.86;283.5;284.38;58676410
SBER;D;160724;000000;284.49;285.69;276.7;285.25;82828490
SBER;D;170724;000000;285.84;289.96;283.23;284.68;42767400
SBER;D;180724;000000;284.69;289.99;282.73;289.83;34064140
SBER;D;190724;000000;290.67;292.58;289.2;289.9;30979970
SBER;D;220724;000000;291;294.95;291;294.71;33311040
SBER;D;230724;000000;295.45;295.48;293.36;294.39;22093540
SBER;D;240724;000000;294.38;296.67;293.2;295.69;24544600
SBER;D;250724;000000;295.7;297.3;294.2;296.37;22844710
SBER;D;260724;000000;296.4;300;292.67;293.3;84884940
SBER;D;290724;000000;292.94;292.94;286;286.58;52219730
SBER;D;300724;000000;286.5;291.99;284.32;290;42534130
SBER;D;310724;000000;290.46;291.2;288.01;289.3;25920100
SBER;D;010824;000000;289.75;290.69;287.04;287.21;18623090
SBER;D;020824;000000;287.21;287.99;284.37;286.04;30076980
SBER;D;050824;000000;282.79;283.46;275.17;275.49;81937270
SBER;D;060824;000000;277.02;281.16;276.35;279.4;43202810
SBER;D;070824;000000;280.01;283.27;277.21;282.2;48382920
SBER;D;080824;000000;283.25;285.42;280;281.09;42244110
SBER;D;090824;000000;280.98;282.67;279.62;281.44;22241490
SBER;D;120824;000000;280.17;281.5;278.03;280.74;27637540
SBER;D;130824;000000;281.05;284.33;280.42;283.92;24020180
SBER;D;140824;000000;284.2;284.7;280.12;280.32;21714850
SBER;D;150824;000000;280.62;280.85;276.73;278.01;28609160
SBER;D;160824;000000;278.06;279;274.32;274.6;26162430
SBER;D;190824;000000;275.08;275.56;265.02;268.17;68554390
SBER;D;200824;000000;268.35;269.49;263.36;266.2;54188810
SBER;D;210824;000000;266.16;267.8;263.86;266.93;37082330
SBER;D;220824;000000;266.93;268.5;260.15;261.6;47832270
SBER;D;230824;000000;261.7;262.8;255.56;259.5;76692590
SBER;D;260824;000000;263.55;266.95;261.54;265.39;49740810
SBER;D;270824;000000;265.82;266.07;259.82;260.5;32322390
SBER;D;280824;000000;259.9;262.47;254.99;262.47;47819940
SBER;D;290824;000000;262.59;264.19;258.36;260.31;34789950
SBER;D;300824;000000;260.55;261.8;254;254.45;46093930
SBER;D;020924;000000;254.03;254.2;242.65;244.31;97567000
SBER;D;030924;000000;244.39;250;240.01;244.04;105623660
SBER;D;040924;000000;244.51;253.5;242.8;253.01;70628230
SBER;D;050924;000000;255;258.17;251.11;252.82;78275280
SBER;D;060924;000000;253.04;255.35;250.31;254.77;41321430
SBER;D;090924;000000;256;263.45;255.3;263.31;66034220
SBER;D;100924;000000;264.6;264.61;258.7;261.29;57661380
SBER;D;110924;000000;260.8;262;257.5;258.2;38187230
SBER;D;120924;000000;257.79;258.68;252.85;254.93;46294910
SBER;D;130924;000000;255.18;259.92;248.75;258.25;111072970
SBER;D;160924;000000;259.65;264.37;257.8;263.79;52514890
SBER;D;170924;000000;264.12;267;260.55;265.99;57482960
SBER;D;180924;000000;265.73;267.99;263.15;263.4;43207650
SBER;D;190924;000000;263.93;266.19;262.32;264.5;35624340
SBER;D;200924;000000;264.55;269.21;264.5;269.08;38731230
SBER;D;230924;000000;269.32;273.8;269.3;273.17;49321720
SBER;D;240924;000000;273.83;273.94;270.5;272.92;36940480
SBER;D;250924;000000;272.93;273.8;267.3;267.8;43747450
SBER;D;260924;000000;267.6;269.76;265.41;267.88;31838840
SBER;D;270924;000000;268.5;269.7;267.17;268.07;18850980
SBER;D;300924;000000;269.25;272.33;268.14;268.49;42404640
SBER;D;011024;000000;267.64;268.68;264;266.29;51992710
SBER;D;021024;000000;266.28;268;258.52;259.31;46490120
SBER;D;031024;000000;259.31;264.49;257.2;264.25;56487900
SBER;D;041024;000000;264.95;265.44;262.11;264.09;25906840
SBER;D;071024;000000;264.25;267;261.37;263.39;28903960
SBER;D;081024;000000;263.19;263.8;261.89;262.4;16119810
SBER;D;091024;000000;262.55;263.8;259.59;260.86;24955850
SBER;D;101024;000000;260.89;261.64;258.91;259.98;17641350
SBER;D;111024;000000;259.81;260.07;256.8;256.94;24807370
SBER;D;141024;000000;256.47;263.91;254.1;261.28;64068170
SBER;D;151024;000000;260.94;263.7;259.84;262.03;26188700
SBER;D;161024;000000;262.06;264.72;258.45;259.5;40177540
SBER;D;171024;000000;259.5;260.45;256.03;256.57;24610370
SBER;D;181024;000000;256.5;258.9;254.41;257.19;29989090
SBER;D;211024;000000;257.27;259.85;256.78;258.21;21431740
SBER;D;221024;000000;258.1;258.8;255.25;255.42;17034860
SBER;D;231024;000000;255.25;255.9;251.34;252.01;30386580
SBER;D;241024;000000;252.02;254.27;250.25;252.64;28722160
SBER;D;251024;000000;252.76;255.35;245.7;246.35;80582460
SBER;D;281024;000000;245.07;249;241.61;242.56;71823960
SBER;D;291024;000000;243.19;244.6;239.88;242.66;47036950
SBER;D;301024;000000;242.86;246.22;241.11;241.45;39715140
SBER;D;311024;000000;241.39;242.8;236.23;237.9;57012180
SBER;D;011124;000000;237.91;239.1;234.57;238.03;48318530
SBER;D;021124;000000;237.88;240;237.71;238.97;14853190
SBER;D;051124;000000;239.61;241.2;238.07;239.23;28108960
SBER;D;061124;000000;247;248.56;242.05;243.6;77709700
SBER;D;071124;000000;243.26;251;242.16;250.93;44425190
SBER;D;081124;000000;251.5;255.99;250.5;255.98;57955250
SBER;D;111124;000000;257.98;261.3;256.49;260.73;67108770
SBER;D;121124;000000;259.99;260.7;255.27;255.77;40858380
SBER;D;131124;000000;255.3;258.96;254.05;254.7;44517870
SBER;D;141124;000000;254.3;255.92;248.6;249.52;48972450
SBER;D;151124;000000;249.4;254.43;248.05;253.43;44169640
SBER;D;181124;000000;249.09;251.94;247.3;248.72;51127080
SBER;D;191124;000000;249.05;249.83;239.62;240.59;75453920
SBER;D;201124;000000;241.8;243.59;234.74;237.05;70236990
SBER;D;211124;000000;237.16;240.94;234;240.47;75052950
SBER;D;221124;000000;240.55;241;234.78;236;45501870
SBER;D;251124;000000;236;237.1;227.25;227.81;76358230
SBER;D;261124;000000;227.81;231.9;221.2;223.16;96738220
SBER;D;271124;000000;223.88;226.47;219.2;226.3;112401690
SBER;D;281124;000000;227.06;229.5;222.48;228.56;67717140
SBER;D;291124;000000;228.48;236.99;227.55;236.49;70247610
SBER;D;021224;000000;237.09;238.7;234.32;235.17;45050170
SBER;D;031224;000000;235.29;235.97;230.26;230.8;45313800
SBER;D;041224;000000;231.05;233.79;224.3;224.55;72374990
SBER;D;051224;000000;224.6;233.75;222.82;233.48;86902200
SBER;D;061224;000000;233.63;238.25;231.52;237.84;81003410
SBER;D;091224;000000;239.27;240.51;236.75;237.29;52314320
SBER;D;101224;000000;238;238.01;230.65;230.82;58548350
SBER;D;111224;000000;230.5;234.39;229.22;234.19;64817940
SBER;D;121224;000000;234;235.95;228.52;229.02;59118900
SBER;D;131224;000000;228.89;231.33;227.85;228.7;46091280
SBER;D;161224;000000;228.6;229.05;224.38;225.53;54519260
SBER;D;171224;000000;225.58;227.49;223.72;226.5;45827690
SBER;D;181224;000000;226.72;230.8;224.33;230.15;58002020
SBER;D;191224;000000;230.17;234.99;227.71;229;123831990
SBER;D;201224;000000;229.32;258.98;228.03;257.6;235163880
SBER;D;231224;000000;260;270;256.51;264.9;162588610
SBER;D;241224;000000;264.93;266.79;261.02;264.34;83747800
SBER;D;251224;000000;263.64;273;260.31;271.69;125501440
SBER;D;261224;000000;272.02;274.25;269.1;269.56;75523970
SBER;D;271224;000000;269.69;272.16;268.57;271.2;52121690
SBER;D;281224;000000;271.37;273.99;270.4;272.83;39560080
SBER;D;301224;000000;273.99;279.49;273.7;279.43;52353840
SBER;D;030125;000000;279.99;280.41;271.8;272.25;42928720
SBER;D;060125;000000;270.88;274.41;270.07;274.37;28260720
SBER;D;080125;000000;273.39;277.87;273.09;277;26185200
SBER;D;090125;000000;276.89;278.77;270.73;271.8;52866520
SBER;D;100125;000000;272.32;279.53;270.27;278.77;71104590
SBER;D;130125;000000;280.65;284.75;278.6;279.8;66252420
SBER;D;140125;000000;279.82;282.36;277.41;279.85;45983040
SBER;D;150125;000000;280;282.82;276.06;282.77;52822640
SBER;D;160125;000000;283.72;284;281.18;281.8;49321630
SBER;D;170125;000000;282.2;284.64;280.19;283.53;51815780
SBER;D;200125;000000;285.11;286.23;277.61;278.19;67543880
SBER;D;210125;000000;279.39;281.85;276.32;281.85;40374630
SBER;D;220125;000000;281.94;284;280.2;280.36;47032130
SBER;D;230125;000000;280.79;280.79;277.35;280.49;38509890
SBER;D;240125;000000;281;282.75;279.25;280.74;32083360
SBER;D;270125;000000;280.72;280.97;275.01;275.23;39028630
SBER;D;280125;000000;275.25;279.26;274.01;278.35;39024990
SBER;D;290125;000000;277.95;282.18;277.12;280.36;39150990
SBER;D;300125;000000;280.37;282.5;280.36;281.97;28018670
SBER;D;310125;000000;281.83;284.11;280.27;280.73;40327370
SBER;D;030225;000000;280.21;280.35;278;279.55;30335260
SBER;D;040225;000000;279.55;281.41;275.7;277.4;23982810
SBER;D;050225;000000;277.3;283.89;275.34;282.88;43063150
SBER;D;060225;000000;283.89;288.92;282.09;287.15;69290140
SBER;D;070225;000000;287.66;288.9;285.08;285.81;27610110
SBER;D;100225;000000;287.64;294.55;287.61;289.94;72903060
SBER;D;110225;000000;290.42;294.1;289.3;294.06;55991750
SBER;D;120225;000000;294.3;314.4;291.3;314;185802940
SBER;D;130225;000000;315.61;318.72;307.2;310.1;116571990
SBER;D;140225;000000;315.59;317.84;303.06;309.87;126690930
SBER;D;170225;000000;314;319.55;312.31;319.5;84607980
SBER;D;180225;000000;319.9;320.92;310.21;312.95;84855800
SBER;D;190225;000000;313.53;317.25;311.01;315.91;50473290
SBER;D;200225;000000;315.91;317.96;314.02;315.05;33153140
SBER;D;210225;000000;315.48;316.69;312;314.74;32724140
SBER;D;240225;000000;314.93;316.4;313;316.03;35706150
SBER;D;250225;000000;316.03;318.59;315.62;316.97;38812180
SBER;D;260225;000000;317;317.45;308.31;310.22;73822090
SBER;D;270225;000000;310.22;312.45;305.43;307.1;60919290
SBER;D;280225;000000;306.01;310.4;304.05;309.63;65631160
SBER;D;010325;000000;309.84;310.94;309.47;310.11;1138430
SBER;D;020325;000000;309.5;309.63;306.8;307.44;1885110
SBER;D;030325;000000;306.45;307.92;300.2;305.5;66383120
SBER;D;040325;000000;306.43;318.5;306.14;316.4;88099480
SBER;D;050325;000000;316.5;318.3;313;313.56;57710050
SBER;D;060325;000000;313.63;317.43;313.57;315.18;31957120
SBER;D;070325;000000;315.3;321.87;310.69;316.92;110870150
SBER;D;100325;000000;317;320.63;316.37;317.57;39294670
SBER;D;110325;000000;317.78;321.98;315.57;319.69;64926270
SBER;D;120325;000000;319.8;320.9;315.8;318.39;41920410
SBER;D;130325;000000;318.39;320.5;312.5;316.37;78546460
SBER;D;140325;000000;315.91;321.1;314.12;320.51;51691040
SBER;D;150325;000000;320.69;321.3;319.82;320.74;1455280
SBER;D;160325;000000;320.52;323.5;320.52;323.44;5680630
SBER;D;170325;000000;323.45;326.97;322.62;326.02;58625040
SBER;D;180325;000000;326.19;329.77;323.82;324.06;72941970
SBER;D;190325;000000;324.49;326.88;322.3;325.3;39792530
SBER;D;200325;000000;325.41;326;321.8;324.05;42352140
SBER;D;210325;000000;324;326.08;322.15;323.26;28693860
SBER;D;240325;000000;323.26;323.94;318.51;319.47;33031030
SBER;D;250325;000000;320;322.2;314.65;319.8;48324870
SBER;D;260325;000000;320;320.88;315.01;315.23;20575860
SBER;D;270325;000000;315.8;317.16;311.95;311.96;36144680
SBER;D;280325;000000;311.95;313.65;305.65;308.04;51856020
SBER;D;290325;000000;307.8;308.3;302.64;303.89;5739820
SBER;D;300325;000000;303.2;305.3;298.8;299.22;9158830
SBER;D;310325;000000;300.07;310.88;300;309.72;48301070
SBER;D;010425;000000;310.01;312.9;304.81;306.13;36690050
